Povesti;Mihai Eminescu,Ion Caragiale,Ion Creanga;1973;Corint;povesti,povestiri
Poezii;Sadoveanu;1973;Corint;poezii
Enigma Otiliei;George Calinescu;1948;Litera;enigma,otilia
Dale carnavalului;Caragiale Ion;1948;Litera;caragiale,carnaval
Intampinarea crailor;Mateiu Caragiale;1948;Litera;mateiu,crailor
Test;Calinescu,Tetica;1992;Pipa;am,casa
Povesti;Mihai Eminescu,Ion Caragiale,Ion Creanga,Tudor;1990;Corint;povesti,povestiri
asdfmovie;Primul,Al doilea,Al treilea;2017;labarescu;a,b,c
Carte;Ion;2001;Edt;cuv
Titlu;Ion,Popescu,Gigi;2016;edit;cuvant,cuvant
Titlu;Ion,Popescu,Gigi;2016;edit;cuvant,cuv
ab;Ion,Popescu,Gigi;1900;test;cuvant,cuv
C;Ion,Popescu,Gigi;1901;test;cuvant,cuv
Titlu test;Ion,Popescu,Gigi;2010;test;cuvant,cuv
Titlu test;Ion,Popescu,Gigi;2010;test;cuvant,cuv
Titlu;Ion,Popescu,Gigi;2016;edit;cuvant,cuv
ab;Ion,Popescu,Gigi;1900;test;cuvant,cuv
C;Ion,Popescu,Gigi;1901;test;cuvant,cuv
Titlu test;Ion,Popescu,Gigi;2010;test;cuvant,cuv
Titlu;Ion,Popescu,Gigi;2016;edit;cuvant,cuv
ab;Ion,Popescu,Gigi;1900;test;cuvant,cuv
C;Ion,Popescu,Gigi;1901;test;cuvant,cuv
